language,sent_index,baseline,ic_metric,ic_objective,length,real_dl,real_ic,delta_used,n_dl_matched,p_good,frac_lt,frac_eq,frac_gt,diff_real_minus_matched_mean
English,0,projective_like,verb_cues,max,12,31,0.0,0,277,0.0,0.0,0.5126353790613718,0.48736462093862815,-0.48736462093862815
English,1,projective_like,verb_cues,max,12,25,0.0,0,187,0.0,0.0,0.0106951871657754,0.9893048128342246,-2.0106951871657754
English,3,projective_like,verb_cues,max,12,29,0.0,0,304,0.0,0.0,0.26973684210526316,0.7302631578947368,-0.9901315789473685
English,4,projective_like,verb_cues,max,12,31,0.0,0,250,0.0,0.0,0.448,0.552,-0.552
English,5,projective_like,verb_cues,max,12,25,1.0,0,305,0.5540983606557377,0.5540983606557377,0.4459016393442623,0.0,0.5540983606557377
English,6,projective_like,verb_cues,max,12,28,2.0,0,301,0.16611295681063123,0.16611295681063123,0.3289036544850498,0.5049833887043189,-0.5315614617940199
English,9,projective_like,verb_cues,max,12,28,1.0,0,483,0.2401656314699793,0.2401656314699793,0.4782608695652174,0.2815734989648033,-0.04140786749482395
English,10,projective_like,verb_cues,max,12,30,1.0,0,281,0.2775800711743772,0.2775800711743772,0.41637010676156583,0.30604982206405695,-0.028469750889679624
English,11,projective_like,verb_cues,max,12,32,1.0,0,190,0.06842105263157895,0.06842105263157895,0.2578947368421053,0.6736842105263158,-1.0631578947368423
English,12,projective_like,verb_cues,max,12,31,0.0,0,200,0.0,0.0,0.16,0.84,-1.415
English,13,projective_like,verb_cues,max,12,26,0.0,0,221,0.0,0.0,0.46153846153846156,0.5384615384615384,-0.5384615384615384
English,14,projective_like,verb_cues,max,12,26,1.0,0,390,0.15897435897435896,0.15897435897435896,0.6461538461538462,0.19487179487179487,-0.03589743589743599
English,15,projective_like,verb_cues,max,12,23,0.0,0,131,0.0,0.0,0.11450381679389313,0.8854961832061069,-1.5877862595419847
English,16,projective_like,verb_cues,max,12,25,1.0,0,334,0.20359281437125748,0.20359281437125748,0.6017964071856288,0.19461077844311378,0.008982035928143728
English,18,projective_like,verb_cues,max,12,28,0.0,0,245,0.0,0.0,0.5428571428571428,0.45714285714285713,-0.45714285714285713
English,19,projective_like,verb_cues,max,12,19,0.0,0,93,0.0,0.0,1.0,0.0,0.0
English,20,projective_like,verb_cues,max,12,32,0.0,0,203,0.0,0.0,0.059113300492610835,0.9408866995073891,-2.0886699507389164
English,21,projective_like,verb_cues,max,12,25,1.0,0,403,0.13895781637717122,0.13895781637717122,0.40694789081885857,0.45409429280397023,-0.4218362282878412
English,22,projective_like,verb_cues,max,12,29,2.0,0,353,0.5127478753541076,0.5127478753541076,0.35127478753541075,0.1359773371104816,0.5014164305949009
English,23,projective_like,verb_cues,max,12,44,0.0,0,96,0.0,0.0,1.0,0.0,0.0
English,24,projective_like,verb_cues,max,12,29,3.0,0,340,0.6558823529411765,0.6558823529411765,0.2647058823529412,0.07941176470588235,0.9617647058823531
English,25,projective_like,verb_cues,max,12,24,1.0,0,241,0.0912863070539419,0.0912863070539419,0.42323651452282157,0.4854771784232365,-0.4979253112033195
English,26,projective_like,verb_cues,max,12,29,0.0,0,275,0.0,0.0,0.13454545454545455,0.8654545454545455,-1.4981818181818183
